time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2023-10-14 17:27:48.354 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513782784,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304467256, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:27:59.850 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513782784,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304467256, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2023-10-14 17:28:35.409 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513782784,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304514671, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:29:07.642 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513782784,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304514671, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2023-10-14 17:29:38.948 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513782784,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304578022, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:30:01.677 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513782784,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304578022, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2023-10-14 17:30:56.701 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513782784,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304655531, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:31:11.099 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513782784,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304655531, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2023-10-14 17:32:06.072 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513778688,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304725557, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:32:30.269 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513778688,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304725557, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2023-10-14 17:33:18.991 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513778688,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304798251, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:33:33.216 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513778688,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304798251, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2023-10-14 17:34:14.535 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513778688,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304853646, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:34:38.491 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513778688,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697304853646, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2023-10-14 17:38:17.976 UTC, ,125,3160277,1184,14424, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,10, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513778688,42,42, , , , , ,1,41, , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697305097475, , , , ,3145728,2608, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,100891,29, , , , , , , , , , ,27242496, , , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-14 17:38:36.426 UTC, ,125,3165021,1312,19168, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,1,5, ,5,4, , , , , , , , , , , , , ,2608,2, ,1684, , , , ,2653,246513778688,42,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2653, ,1697305097475, , , , ,3145728,2608, , ,6,0, , , ,1, , , ,3, , , , ,6,1, , , , , , ,6315,7, , , , , , , , , , ,29339648, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
